"item_key","type","id","label","section","caption","optional","default_formats","input_state","state_hash","setup_summary","include","placement"
"figure:selftest-parameter-recovery","figure","selftest-parameter-recovery","Self-test parameter recovery","Self-Test","Self-test parameter-recovery diagnostic for the 2026 bigeye tuna assessment. Boxplots summarize recovery error across selected self-test refits and parameter groups.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:selftest-recovery","figure","selftest-recovery","Self-test recovery","Self-Test","Self-test recovery diagnostic for the 2026 bigeye tuna assessment. Lines, intervals, and panels compare refit estimates against pseudo-data truth values for selected self-test scenarios.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:selftest-simulation","figure","selftest-simulation","Self-test simulation","Self-Test","Self-test simulation diagnostic for the 2026 bigeye tuna assessment. Panels compare observed and pseudo-data simulated components for selected self-test scenarios.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:tag-recapture-pressure-by-fishery","figure","tag-recapture-pressure-by-fishery","Observed/expected recapture pressure by fishery","Tagging Dynamics","Observed-to-expected recapture pressure for the 2026 bigeye tuna assessment. Colours show the log-scaled ratio of observed to expected recaptures across release and recapture strata, highlighting areas with stronger or weaker recapture pressure.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:tag-recapture-pressure","figure","tag-recapture-pressure","Observed/expected recapture pressure by region","Tagging Dynamics","Observed-to-expected recapture pressure for the 2026 bigeye tuna assessment. Colours show the log-scaled ratio of observed to expected recaptures across release and recapture strata, highlighting areas with stronger or weaker recapture pressure.",TRUE,"png,pdf","","","",FALSE,"exclude"
"figure:tag-attrition-all","figure","tag-attrition-all","Tag attrition","Tagging Dynamics","Tag attrition through time for the 2026 bigeye tuna assessment, with all recapture fisheries combined. Lines summarize the decline in available tag cohorts through time for selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:tag-attrition-by-program","figure","tag-attrition-by-program","Tag attrition by program","Tagging Dynamics","Tag attrition through time by tagging program for the 2026 bigeye tuna assessment. Panels or colours identify tag programs and selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:tag-attrition-by-region","figure","tag-attrition-by-region","Tag attrition by recapture region","Tagging Dynamics","Tag attrition through time by recapture region for the 2026 bigeye tuna assessment. Panels or colours identify regions and selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:tagging-dynamics","figure","tagging-dynamics","Tag reporting rates","Tagging Dynamics","Estimated tag reporting rates for the 2026 bigeye tuna assessment. Distributions or intervals summarize reporting-rate estimates by tag reporting group; colours and facets identify selected assessment models or grouping variables.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:tag-returns-by-group","figure","tag-returns-by-group","Tag returns by recapture group","Tagging Dynamics","Observed tag returns over time by recapture group for the 2026 bigeye tuna assessment. Panels or colours identify recapture groups and selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:tag-returns-all","figure","tag-returns-all","Tag returns over time","Tagging Dynamics","Observed tag returns over time for the 2026 bigeye tuna assessment, with all recapture fisheries combined. Lines and facets identify selected assessment models and the temporal pattern of total tag returns.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:weight-frequency","figure","weight-frequency","Weight-frequency fits","Weight Frequency","Observed and fitted weight-frequency samples for the 2026 bigeye tuna assessment. Bars show observed sample counts and fitted overlays show model predictions; panels identify selected fisheries and years, and colours, line styles, or legends identify assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"figure:weight-frequency-residuals","figure","weight-frequency-residuals","Weight-frequency residuals","Weight Frequency","Weight-frequency bubble residuals for the 2026 bigeye tuna assessment. Bubble size and sign show observed-minus-fitted residual structure by weight bin, fishery, and year for the selected assessment models.",FALSE,"png,pdf","","","",TRUE,"auto"
"table:parameter-bound-hit-detail","table","parameter-bound-hit-detail","Parameter bound hit detail","Diagnostics","Detailed list of estimated parameters that hit their lower or upper bounds in the 2026 bigeye tuna assessment. The table includes parameter names, estimates, bound values, and movement or selectivity context where it can be inferred.",FALSE,"csv","","","",TRUE,"auto"
"table:parameter-bound-hit-summary","table","parameter-bound-hit-summary","Parameter bound hit summary","Diagnostics","Summary of estimated parameters at their lower or upper bounds for the 2026 bigeye tuna assessment. Counts are reported by model, with separate totals for lower-bound hits, upper-bound hits, and movement-related parameters.",FALSE,"csv","","","",TRUE,"auto"
"table:fishery-names","table","fishery-names","Fishery names","Fishery names","Fishery definitions used by the 2026 bigeye tuna assessment, including fishery number, descriptive fishery name, region, selectivity group, and tag recapture group assignment where available.",FALSE,"csv","","","",TRUE,"auto"
"table:tag-reporting-groups","table","tag-reporting-groups","Tag reporting groups","Fishery names","Tag reporting group labels used by the 2026 bigeye tuna assessment. These labels document the reporting-rate groups used to interpret tag recapture and reporting-rate diagnostics.",FALSE,"csv","","","",TRUE,"auto"
